Batting,,R,B,M,4s,6s,SR
Gudakesh Motie,not out,4,7,10,1,0,57.14
Quinton de Kock †,c Rutherford b Russell,12,7,10,3,0,171.42
Reeza Hendricks,c †Pooran b Russell,0,1,5,0,0,0
Aiden Markram (c),c Mayers b Joseph,18,15,20,2,0,120
Tristan Stubbs,c Mayers b Chase,29,27,55,4,0,107.4
Heinrich Klaasen,c †Pooran b Joseph,22,10,13,3,1,220
David Miller,b Chase,4,14,18,0,0,28.57
Marco Jansen,not out,21,14,22,1,1,150
Keshav Maharaj,c Joseph b Chase,2,6,9,0,0,33.33
Kagiso Rabada,not out,5,3,5,1,0,166.66
Steven Taylor,c Ali b Curran,12,13,25,2,0,92.3
Andries Gous †,c Salt b Topley,8,5,4,0,1,160
Nitish Kumar,b Rashid,30,24,38,1,2,125
Aaron Jones (c),b Rashid,10,16,10,2,0,62.5
Corey Anderson,c Brook b Jordan,29,28,43,0,1,103.57
Milind Kumar,c †Buttler b Livingstone,4,6,13,0,0,66.66
Harmeet Singh,c Jordan b Curran,21,17,19,2,1,123.52
Shadley van Schalkwyk,not out,0,0,7,0,0,-
Ali Khan,b Jordan,0,2,1,0,0,0
Nosthush Kenjige,lbw b Jordan,0,1,1,0,0,0
Saurabh Netravalkar,b Jordan,0,1,1,0,0,0
Phil Salt,not out,25,21,44,2,0,119.04
Jos Buttler (c)†,not out,83,38,44,6,7,218.42
Rahmanullah Gurbaz †,c Warner b Stoinis,60,49,66,4,4,122.44
Ibrahim Zadran,c Marsh b Zampa,51,48,73,6,0,106.25
Azmatullah Omarzai,b Zampa,2,3,2,0,0,66.66
Karim Janat,c David b Cummins,13,9,13,0,1,144.44
Rashid Khan (c),c David b Cummins,2,5,4,0,0,40
Mohammad Nabi,not out,10,4,10,2,0,250
Gulbadin Naib,c Maxwell b Cummins,0,1,12,0,0,0
Nangeyalia Kharote,not out,1,1,2,0,0,100
Travis Head,b Naveen-ul-Haq,0,3,2,0,0,0
David Warner,c Noor Ahmad b Mohammad Nabi,3,8,27,0,0,37.5
Mitchell Marsh (c),c Mohammad Nabi b Naveen-ul-Haq,12,9,9,2,0,133.33
Glenn Maxwell,c Noor Ahmad b Gulbadin Naib,59,41,58,6,3,143.9
Marcus Stoinis,c †Rahmanullah Gurbaz b Gulbadin Naib,11,17,20,1,0,64.7
Tim David,lbw b Gulbadin Naib,2,4,9,0,0,50
Matthew Wade †,c Karim Janat b Rashid Khan,5,7,16,0,0,71.42
Pat Cummins,b Gulbadin Naib,3,9,9,0,0,33.33
Ashton Agar,c Gulbadin Naib b Naveen-ul-Haq,2,5,10,0,0,40
Adam Zampa,c Mohammad Nabi b Azmatullah Omarzai,9,7,15,1,0,128.57
Josh Hazlewood,not out,5,7,10,0,0,71.42
Rohit Sharma (c),c Jaker Ali b Shakib Al Hasan,23,11,14,3,1,209.09
Virat Kohli,b Tanzim Hasan Sakib,37,28,34,1,3,132.14
Rishabh Pant †,c Tanzim Hasan Sakib b Rishad Hossain,36,24,36,4,2,150
Suryakumar Yadav,c †Litton Das b Tanzim Hasan Sakib,6,2,2,0,1,300
Shivam Dube,b Rishad Hossain,34,24,38,0,3,141.66
Hardik Pandya,not out,50,27,38,4,3,185.18
Axar Patel,not out,3,5,13,0,0,60
Litton Das †,c Yadav b Pandya,13,10,20,1,1,130
Tanzid Hasan,lbw b Kuldeep Yadav,29,31,41,4,0,93.54
Najmul Hossain Shanto (c),c Arshdeep Singh b Bumrah,40,32,46,1,3,125
Towhid Hridoy,lbw b Kuldeep Yadav,4,6,6,0,0,66.66
Shakib Al Hasan,c Sharma b Kuldeep Yadav,11,7,7,1,1,157.14
Mahmudullah,c Patel b Arshdeep Singh,13,15,30,1,0,86.66
Jaker Ali,c Kohli b Arshdeep Singh,1,4,3,0,0,25
Rishad Hossain,c Sharma b Bumrah,24,10,9,1,3,240
Mahedi Hasan,not out,5,4,7,1,0,125
Tanzim Hasan Sakib,not out,1,1,1,0,0,100
Steven Taylor,c Chase b Russell,2,7,5,0,0,28.57
Andries Gous †,c Hope b Joseph,29,16,37,3,1,181.25
Nitish Kumar,lbw b Motie,20,19,23,2,0,105.26
Aaron Jones (c),b Chase,11,11,12,0,1,100
Corey Anderson,lbw b Chase,7,15,23,0,0,46.66
Milind Kumar,run out (Motie/Russell),19,21,35,1,0,90.47
Harmeet Singh,c Charles b Chase,0,1,1,0,0,0
Shadley van Schalkwyk,c Charles b Russell,18,17,17,3,0,105.88
Nosthush Kenjige,c †Pooran b Joseph,1,3,8,0,0,33.33
Ali Khan,not out,14,6,11,1,1,233.33
Saurabh Netravalkar,c Powell b Russell,0,4,4,0,0,0
Shai Hope,not out,82,39,-,4,8,210.25
Johnson Charles,c Milind Kumar b Harmeet Singh,15,14,-,2,0,107.14
Nicholas Pooran †,not out,27,12,-,1,3,225
Reeza Hendricks,c Brook b Ali,19,25,41,1,0,76
Quinton de Kock †,c †Buttler b Archer,65,38,50,4,4,171.05
Heinrich Klaasen,run out (†Buttler),8,13,21,1,0,61.53
David Miller,c Brook b Archer,43,28,40,4,2,153.57
Aiden Markram (c),b Rashid,1,2,4,0,0,50
Tristan Stubbs,not out,12,11,28,1,0,109.09
Marco Jansen,c Curran b Archer,0,1,1,0,0,0
Keshav Maharaj,not out,5,2,3,1,0,250
Phil Salt,c Hendricks b Rabada,11,8,8,1,1,137.5
Jos Buttler (c)†,c Klaasen b Maharaj,17,20,38,1,0,85
Jonny Bairstow,c Nortje b Maharaj,16,20,20,1,0,80
Moeen Ali,c Maharaj b Baartman,9,10,15,0,0,90
Harry Brook,c Markram b Nortje,53,37,50,7,0,143.24
Liam Livingstone,c Stubbs b Rabada,33,17,33,3,2,194.11
Sam Curran,not out,10,7,14,1,0,142.85
Jofra Archer,not out,1,2,4,0,0,50
Tanzid Hasan,b Starc,0,3,2,0,0,0
Litton Das †,b Zampa,16,25,42,2,0,64
Najmul Hossain Shanto (c),lbw b Zampa,41,36,57,5,1,113.88
Rishad Hossain,c Zampa b Maxwell,2,4,5,0,0,50
Towhid Hridoy,c Hazlewood b Cummins,40,28,40,2,2,142.85
Shakib Al Hasan,c & b Stoinis,8,10,27,0,0,80
Mahmudullah,b Cummins,2,3,7,0,0,66.66
Mahedi Hasan,c Zampa b Cummins,0,1,1,0,0,0
Taskin Ahmed,not out,13,7,9,1,0,185.71
Tanzim Hasan Sakib,not out,4,3,3,0,0,133.33
David Warner,not out,53,35,52,5,3,151.42
Travis Head,b Rishad Hossain,31,21,30,3,2,147.61
Mitchell Marsh (c),lbw b Rishad Hossain,1,6,8,0,0,16.66
Glenn Maxwell,not out,14,6,12,1,1,233.33
Rohit Sharma (c),c Rashid Khan b Fazalhaq Farooqi,8,13,13,1,0,61.53
Virat Kohli,c Mohammad Nabi b Rashid Khan,24,24,41,0,1,100
Rishabh Pant †,lbw b Rashid Khan,20,11,20,4,0,181.81
Suryakumar Yadav,c Mohammad Nabi b Fazalhaq Farooqi,53,28,51,5,3,189.28
