Batting,,R,B,M,4s,6s,SR
Kaleemullah,b Rashid,5,5,8,1,0,100
Bilal Khan,not out,0,1,3,0,0,0
Phil Salt,b Bilal Khan,12,3,2,0,2,400
Jos Buttler (c)†,not out,24,8,17,4,1,300
Will Jacks,c Prajapati b Kaleemullah,5,7,7,1,0,71.42
Jonny Bairstow,not out,8,2,6,2,0,400
Tanzid Hasan,c de Leede b van Meekeren,35,26,45,5,1,134.61
Najmul Hossain Shanto (c),c Vikramjit Singh b Dutt,1,3,6,0,0,33.33
Litton Das †,c Engelbrecht b Dutt,1,2,12,0,0,50
Shakib Al Hasan,not out,64,46,74,9,0,139.13
Towhid Hridoy,b Pringle,9,15,13,0,0,60
Mahmudullah,c Engelbrecht b van Meekeren,25,21,22,2,2,119.04
Jaker Ali,not out,14,7,11,3,0,200
Michael Levitt,c Towhid Hridoy b Taskin Ahmed,18,16,17,2,1,112.5
Max O'Dowd,c & b Tanzim Hasan Sakib,12,16,23,3,0,75
Vikramjit Singh,st †Litton Das b Mahmudullah,26,16,22,0,3,162.5
Sybrand Engelbrecht,c Tanzim Hasan Sakib b Rishad Hossain,33,22,36,3,1,150
Scott Edwards (c)†,c Jaker Ali b Mustafizur Rahman,25,23,28,3,0,108.69
Bas de Leede,st †Litton Das b Rishad Hossain,0,2,1,0,0,0
Logan van Beek,c & b Rishad Hossain,2,3,10,0,0,66.66
Tim Pringle,b Taskin Ahmed,1,10,16,0,0,10
Aryan Dutt,not out,15,12,11,1,1,125
Brandon King,c †Conway b Neesham,9,12,36,0,1,75
Johnson Charles,b Boult,0,5,3,0,0,0
Nicholas Pooran †,c †Conway b Southee,17,12,12,3,0,141.66
Roston Chase,c Ravindra b Ferguson,0,3,3,0,0,0
Rovman Powell (c),c †Conway b Southee,1,5,5,0,0,20
Sherfane Rutherford,not out,68,39,72,2,6,174.35
Akeal Hosein,c Neesham b Santner,15,17,17,0,1,88.23
Andre Russell,c Ferguson b Boult,14,7,8,2,1,200
Romario Shepherd,lbw b Ferguson,13,13,19,0,1,100
Alzarri Joseph,b Boult,6,6,6,1,0,100
Gudakesh Motie,not out,0,1,11,0,0,0
Devon Conway †,c Chase b Hosein,5,8,13,0,0,62.5
Finn Allen,c Russell b Joseph,26,23,25,3,1,113.04
Rachin Ravindra,c Russell b Motie,10,13,27,0,0,76.92
Kane Williamson (c),c †Pooran b Motie,1,2,4,0,0,50
Daryl Mitchell,b Motie,12,13,18,1,0,92.3
Glenn Phillips,c Powell b Joseph,40,33,40,3,2,121.21
James Neesham,c King b Joseph,10,11,18,0,1,90.9
Mitchell Santner,not out,21,12,24,0,3,175
Tim Southee,c & b Joseph,0,1,1,0,0,0
Trent Boult,c Chase b Russell,7,4,5,0,1,175
Lockie Ferguson,not out,0,0,3,0,0,-
Shayan Jahangir,lbw b Arshdeep Singh,0,1,1,0,0,0
Steven Taylor,b Patel,24,30,57,0,2,80
Andries Gous †,c Pandya b Arshdeep Singh,2,5,4,0,0,40
Aaron Jones (c),c Mohammed Siraj b Pandya,11,22,29,0,1,50
Nitish Kumar,c Mohammed Siraj b Arshdeep Singh,27,23,33,2,1,117.39
Corey Anderson,c †Pant b Pandya,15,12,25,1,1,125
Harmeet Singh,c †Pant b Arshdeep Singh,10,10,16,0,1,100
Shadley van Schalkwyk,not out,11,10,15,1,0,110
Jasdeep Singh,run out (†Pant/Mohammed Siraj),2,7,11,0,0,28.57
Rohit Sharma (c),c Harmeet Singh b Netravalkar,3,6,12,0,0,50
Virat Kohli,c †Gous b Netravalkar,0,1,1,0,0,0
Rishabh Pant †,b Ali Khan,18,20,38,1,1,90
Suryakumar Yadav,not out,50,49,80,2,2,102.04
Shivam Dube,not out,31,35,51,1,1,88.57
Michael van Lingen,c Maxwell b Hazlewood,10,10,20,2,0,100
Nikolaas Davin,c Maxwell b Hazlewood,2,7,12,0,0,28.57
Jan Frylinck,c Marsh b Cummins,1,6,4,0,0,16.66
Gerhard Erasmus (c),c Maxwell b Stoinis,36,43,64,4,1,83.72
JJ Smit,lbw b Ellis,3,9,15,0,0,33.33
Zane Green †,lbw b Zampa,1,4,6,0,0,25
David Wiese,c Hazlewood b Zampa,1,7,7,0,0,14.28
Ruben Trumpelmann,c Maxwell b Zampa,7,7,8,0,1,100
Bernard Scholtz,b Zampa,0,2,1,0,0,0
Jack Brassell,not out,2,3,22,0,0,66.66
Ben Shikongo,c David b Stoinis,0,4,3,0,0,0
David Warner,c Trumpelmann b Wiese,20,8,7,3,1,250
Travis Head,not out,34,17,24,5,2,200
Mitchell Marsh (c),not out,18,9,16,3,1,200
Aaron Johnson,b Naseem Shah,52,44,64,4,4,118.18
Navneet Dhaliwal,b Mohammad Amir,4,7,13,1,0,57.14
Pargat Singh,c Fakhar Zaman b Shaheen Shah Afridi,2,6,9,0,0,33.33
Nicholas Kirton,run out (Imad Wasim),1,6,10,0,0,16.66
Shreyas Movva †,c †Mohammad Rizwan b Haris Rauf,2,9,11,0,0,22.22
Ravinderpal Singh,c Fakhar Zaman b Haris Rauf,0,2,1,0,0,0
Saad Bin Zafar (c),c †Mohammad Rizwan b Mohammad Amir,10,21,29,1,0,47.61
Kaleem Sana,not out,13,14,27,0,1,92.85
Dilon Heyliger,not out,9,11,12,1,0,81.81
Mohammad Rizwan †,not out,53,53,83,2,1,100
Saim Ayub,c †Movva b Heyliger,6,12,22,0,0,50
Babar Azam (c),c †Movva b Heyliger,33,33,43,1,1,100
Fakhar Zaman,c sub (DS Bajwa) b Gordon,4,6,15,0,0,66.66
Usman Khan,not out,2,1,1,0,0,200
Quinton de Kock †,b Tanzim Hasan Sakib,18,11,13,1,2,163.63
Reeza Hendricks,lbw b Tanzim Hasan Sakib,0,1,4,0,0,0
Aiden Markram (c),b Taskin Ahmed,4,8,14,1,0,50
Tristan Stubbs,c Shakib Al Hasan b Tanzim Hasan Sakib,0,5,9,0,0,0
Heinrich Klaasen,b Taskin Ahmed,46,44,60,2,3,104.54
David Miller,b Rishad Hossain,29,38,62,1,1,76.31
Marco Jansen,not out,5,5,13,0,0,100
Keshav Maharaj,not out,4,8,7,0,0,50
Tanzid Hasan,c †de Kock b Rabada,9,9,8,2,0,100
Najmul Hossain Shanto (c),c Markram b Nortje,14,23,44,0,1,60.86
Litton Das †,c Miller b Maharaj,9,13,18,1,0,69.23
Shakib Al Hasan,c Markram b Nortje,3,4,6,0,0,75
Towhid Hridoy,lbw b Rabada,37,34,46,2,2,108.82
Mahmudullah,c Markram b Maharaj,20,27,54,2,0,74.07
Jaker Ali,c Markram b Maharaj,8,9,11,0,0,88.88
Rishad Hossain,not out,0,1,5,0,0,0
Taskin Ahmed,not out,1,1,1,0,0,100
Pratik Athavale †,c McMullen b Greaves,54,40,65,5,2,135
Naseem Khushi,c Watt b Sole,10,9,11,0,1,111.11
Aqib Ilyas (c),lbw b Sharif,16,6,11,2,1,266.66
Zeeshan Maqsood,c †Cross b Watt,3,4,6,0,0,75
Khalid Kail,run out (Sole/Watt),5,7,8,0,0,71.42
Ayaan Khan,not out,41,39,44,4,0,105.12
Mehran Khan,c †Cross b Sharif,13,10,10,2,0,130
Rafiullah,c Sharif b Wheal,0,3,2,0,0,0
Shakeel Ahmed,not out,3,2,5,0,0,150
George Munsey,c Shakeel Ahmed b Mehran Khan,41,20,35,2,4,205
Michael Jones,c Mehran Khan b Bilal Khan,16,13,12,1,2,123.07
Brandon McMullen,not out,61,31,42,9,2,196.77
Richie Berrington (c),b Aqib Ilyas,13,7,7,1,1,185.71
Matthew Cross †,not out,15,8,12,0,2,187.5
Rohit Sharma (c),c Haris Rauf b Shaheen Shah Afridi,13,12,15,1,1,108.33
Virat Kohli,c Usman Khan b Naseem Shah,4,3,7,1,0,133.33
Rishabh Pant †,c Babar Azam b Mohammad Amir,42,31,65,6,0,135.48
Axar Patel,b Naseem Shah,20,18,26,2,1,111.11
Suryakumar Yadav,c Mohammad Amir b Haris Rauf,7,8,16,1,0,87.5
Shivam Dube,c & b Naseem Shah,3,9,7,0,0,33.33
Hardik Pandya,c Iftikhar Ahmed b Haris Rauf,7,12,24,1,0,58.33
Ravindra Jadeja,c Imad Wasim b Mohammad Amir,0,1,1,0,0,0
Arshdeep Singh,run out (Babar Azam/†Mohammad Rizwan),9,13,26,1,0,69.23
Jasprit Bumrah,c Imad Wasim b Haris Rauf,0,1,1,0,0,0
Mohammed Siraj,not out,7,7,7,0,0,100
Mohammad Rizwan †,b Bumrah,31,44,67,1,1,70.45
Babar Azam (c),c Yadav b Bumrah,13,10,23,2,0,130
Usman Khan,lbw b Patel,13,15,23,1,0,86.66
Fakhar Zaman,c †Pant b Pandya,13,8,8,1,1,162.5
Imad Wasim,c †Pant b Arshdeep Singh,15,23,40,1,0,65.21
Shadab Khan,c †Pant b Pandya,4,7,10,0,0,57.14
Iftikhar Ahmed,c Arshdeep Singh b Bumrah,5,9,14,0,0,55.55
Shaheen Shah Afridi,not out,0,1,4,0,0,0
Naseem Shah,not out,10,4,3,2,0,250
Brandon King,b Ramjani,13,8,20,2,0,162.5
Johnson Charles,c Ramjani b Nakrani,44,42,53,4,2,104.76
Nicholas Pooran †,c & b Masaba,22,17,17,0,3,129.41
Rovman Powell (c),c Obuya b Masaba,23,18,26,1,1,127.77
Sherfane Rutherford,b Kyewuta,22,16,23,2,1,137.5
Andre Russell,not out,30,17,23,6,0,176.47
Romario Shepherd,not out,5,5,13,0,0,100
Roger Mukasa,lbw b Hosein,0,2,1,0,0,0
Simon Ssesazi †,c Joseph b Shepherd,4,3,6,1,0,133.33
Robinson Obuya,b Russell,6,8,12,1,0,75
Alpesh Ramjani,lbw b Hosein,5,6,5,1,0,83.33
Kenneth Waiswa,lbw b Hosein,1,10,20,0,0,10
Riazat Ali Shah,b Hosein,3,8,5,0,0,37.5
Dinesh Nakrani,b Hosein,0,2,7,0,0,0
Brian Masaba (c),c †Pooran b Joseph,1,4,8,0,0,25
Juma Miyagi,not out,13,20,20,0,0,65
Cosmas Kyewuta,lbw b Motie,1,6,10,0,0,16.66
Frank Nsubuga,b Joseph,0,3,4,0,0,0
Travis Head,b Archer,34,18,25,2,3,188.88
David Warner,b Ali,39,16,22,2,4,243.75
Mitchell Marsh (c),st †Buttler b Livingstone,35,25,43,2,2,140
Glenn Maxwell,c Salt b Rashid,28,25,44,3,1,112
Marcus Stoinis,c Brook b Jordan,30,17,30,2,2,176.47
Tim David,c Livingstone b Jordan,11,8,10,0,1,137.5
Matthew Wade †,not out,17,10,21,3,0,170
Pat Cummins,run out (†Buttler/Jordan),0,1,1,0,0,0
Mitchell Starc,not out,0,0,3,0,0,-
Phil Salt,b Zampa,37,23,36,4,2,160.86
Jos Buttler (c)†,c Cummins b Zampa,42,28,47,5,2,150
Will Jacks,c Starc b Stoinis,10,10,15,1,0,100
Jonny Bairstow,c Maxwell b Hazlewood,7,13,17,0,0,53.84
Moeen Ali,c Warner b Cummins,25,15,21,0,3,166.66
Harry Brook,not out,20,16,28,2,0,125
Liam Livingstone,c Starc b Cummins,15,12,13,0,1,125
Chris Jordan,not out,1,3,5,0,0,33.33
Michael Levitt,c †de Kock b Jansen,0,3,4,0,0,0
Max O'Dowd,c Jansen b Baartman,2,6,19,0,0,33.33
Vikramjit Singh,b Jansen,12,17,19,1,0,70.58
Sybrand Engelbrecht,c Jansen b Baartman,40,45,63,2,1,88.88
Bas de Leede,c Miller b Nortje,6,16,17,0,0,37.5
Scott Edwards (c)†,run out (Markram),10,9,8,0,1,111.11
Teja Nidamanuru,c Klaasen b Nortje,0,1,2,0,0,0
Logan van Beek,c Nortje b Baartman,23,22,34,3,0,104.54
Tim Pringle,c Markram b Baartman,0,2,1,0,0,0
Paul van Meekeren,not out,1,1,2,0,0,100
Reeza Hendricks,b van Beek,3,10,8,0,0,30
Quinton de Kock †,run out (van Meekeren/O'Dowd),0,0,1,0,0,-
Aiden Markram (c),c †Edwards b Kingma,0,3,13,0,0,0
Tristan Stubbs,c van Beek b de Leede,33,37,70,1,1,89.18
Heinrich Klaasen,c Pringle b Kingma,4,7,8,0,0,57.14
David Miller,not out,59,51,67,3,4,115.68
Marco Jansen,b van Beek,3,5,8,0,0,60
Keshav Maharaj,not out,0,1,4,0,0,0
Pathum Nissanka,c Najmul Hossain Shanto b Mustafizur Rahman,47,28,40,7,1,167.85
Kusal Mendis †,b Taskin Ahmed,10,8,11,2,0,125
Kamindu Mendis,c Tanzim Hasan Sakib b Mustafizur Rahman,4,5,11,1,0,80
Dhananjaya de Silva,st †Litton Das b Rishad Hossain,21,26,51,1,0,80.76
Charith Asalanka,c Shakib Al Hasan b Rishad Hossain,19,21,23,0,1,90.47
Wanindu Hasaranga (c),c Soumya Sarkar b Rishad Hossain,0,1,1,0,0,0
Angelo Mathews,c Mustafizur Rahman b Tanzim Hasan Sakib,16,19,27,1,0,84.21
Dasun Shanaka,c †Litton Das b Taskin Ahmed,3,7,8,0,0,42.85
Maheesh Theekshana,c Tanzim Hasan Sakib b Mustafizur Rahman,0,3,4,0,0,0
Matheesha Pathirana,not out,0,1,7,0,0,0
Nuwan Thushara,not out,0,1,1,0,0,0
Tanzid Hasan,b Thushara,3,6,8,0,0,50
Soumya Sarkar,c Hasaranga b de Silva,0,2,2,0,0,0
Litton Das †,lbw b Hasaranga,36,38,63,2,1,94.73
Najmul Hossain Shanto (c),c Asalanka b Thushara,7,13,16,0,0,53.84
Towhid Hridoy,lbw b Hasaranga,40,20,28,1,4,200
Shakib Al Hasan,c Theekshana b Pathirana,8,14,19,0,0,57.14
Mahmudullah,not out,16,13,29,0,1,123.07
Rishad Hossain,b Thushara,1,3,6,0,0,33.33
Taskin Ahmed,lbw b Thushara,0,1,1,0,0,0
Tanzim Hasan Sakib,not out,1,4,10,0,0,25
Rahmanullah Gurbaz †,b Boult,80,56,92,5,5,142.85
Ibrahim Zadran,b Henry,44,41,66,3,2,107.31
Azmatullah Omarzai,c Ferguson b Henry,22,13,9,1,2,169.23
Mohammad Nabi,c Williamson b Ferguson,0,1,3,0,0,0
Rashid Khan (c),run out (†Conway/Boult),6,5,8,1,0,120
Karim Janat,not out,1,1,6,0,0,100
Gulbadin Naib,c Phillips b Boult,0,2,3,0,0,0
Najibullah Zadran,not out,1,1,1,0,0,100
Finn Allen,b Fazalhaq Farooqi,0,1,1,0,0,0
Devon Conway †,c Ibrahim Zadran b Fazalhaq Farooqi,8,10,16,1,0,80
Kane Williamson (c),c Gulbadin Naib b Rashid Khan,9,13,38,1,0,69.23
Daryl Mitchell,c †Rahmanullah Gurbaz b Fazalhaq Farooqi,5,5,10,1,0,100
Glenn Phillips,c Rashid Khan b Mohammad Nabi,18,18,28,2,0,100
Mark Chapman,b Rashid Khan,4,7,8,0,0,57.14
Michael Bracewell,lbw b Rashid Khan,0,1,2,0,0,0
Mitchell Santner,b Mohammad Nabi,4,8,12,0,0,50
Matt Henry,c Karim Janat b Fazalhaq Farooqi,12,17,21,0,1,70.58
Lockie Ferguson,c & b Rashid Khan,2,5,3,0,0,40
Trent Boult,not out,3,7,10,0,0,42.85
Aaron Johnson,c Campher b Young,14,13,23,3,0,107.69
Navneet Dhaliwal,c Dockrell b Adair,6,10,10,1,0,60
Pargat Singh,c Little b Young,18,14,21,2,0,128.57
Dilpreet Bajwa,c & b Delany,7,9,15,1,0,77.77
Nicholas Kirton,c Balbirnie b McCarthy,49,35,56,3,2,140
Shreyas Movva †,run out (McCarthy/†Tucker),37,36,56,3,0,102.77
Dilon Heyliger,c Little b McCarthy,0,2,1,0,0,0
Saad Bin Zafar (c),not out,1,1,4,0,0,100
Andy Balbirnie,c & b Junaid Siddiqui,17,19,29,1,0,89.47
Paul Stirling (c),c †Movva b Gordon,9,17,25,1,0,52.94
Lorcan Tucker †,run out (Kirton/Saad Bin Zafar),10,15,21,0,0,66.66
Harry Tector,b Saad Bin Zafar,7,5,6,0,0,140
Curtis Campher,c Johnson b Heyliger,4,7,16,0,0,57.14
George Dockrell,not out,30,23,47,2,1,130.43
Gareth Delany,c †Movva b Heyliger,3,7,5,0,0,42.85
Mark Adair,c & b Gordon,34,24,33,3,1,141.66
Barry McCarthy,not out,2,3,2,0,0,66.66
JP Kotze,c McMullen b Wheal,0,3,2,0,0,0
Nikolaas Davin,c Currie b Sole,20,12,24,4,0,166.66
Jan Frylinck,b Currie,12,14,13,2,0,85.71
Gerhard Erasmus (c),st †Cross b Leask,52,31,44,5,2,167.74
Malan Kruger,c Jones b Greaves,2,8,13,0,0,25
Zane Green †,c Jones b Wheal,28,27,39,1,1,103.7
David Wiese,c Watt b Wheal,14,13,14,0,1,107.69
Ruben Trumpelmann,c Wheal b Currie,1,2,5,0,0,50
JJ Smit,run out (Jones/Wheal),11,8,9,0,1,137.5
Bernard Scholtz,not out,6,4,9,0,0,150
Tangeni Lungameni,not out,0,0,3,0,0,-
George Munsey,c Wiese b Lungameni,7,15,21,0,0,46.66
Michael Jones,c †Green b Erasmus,26,20,38,3,1,130
Brandon McMullen,st †Green b Erasmus,19,17,25,2,0,111.76
Richie Berrington (c),not out,47,35,48,2,2,134.28
Matthew Cross †,lbw b Scholtz,3,5,4,0,0,60
Michael Leask,c Wiese b Trumpelmann,35,17,29,0,4,205.88
Chris Greaves,not out,4,3,4,0,0,133.33
Mohammad Rizwan,c Taylor b Netravalkar,9,8,5,0,1,112.5
Babar Azam (c),lbw b Jasdeep Singh,44,43,76,3,2,102.32
Usman Khan,c Kumar b Kenjige,3,3,5,0,0,100
Fakhar Zaman,c Taylor b Ali Khan,11,7,11,0,1,157.14
Shadab Khan,c Netravalkar b Kenjige,40,25,35,1,3,160
Azam Khan †,lbw b Kenjige,0,1,2,0,0,0
Iftikhar Ahmed,lbw b Netravalkar,18,14,27,3,0,128.57
Shaheen Shah Afridi,not out,23,16,25,1,2,143.75
Haris Rauf,not out,3,3,11,0,0,100
Steven Taylor,c Mohammad Rizwan b Naseem Shah,12,16,-,1,0,75
Monank Patel (c)†,c Mohammad Rizwan b Mohammad Amir,50,38,-,7,1,131.57
Andries Gous,b Haris Rauf,35,26,-,5,1,134.61
Aaron Jones,not out,36,26,-,2,2,138.46
Nitish Kumar,not out,14,14,-,1,0,100
David Warner,c Shoaib Khan b Kaleemullah,56,51,91,6,1,109.8
Travis Head,c Khalid Kail b Bilal Khan,12,10,13,2,0,120
Mitchell Marsh (c),c Shoaib Khan b Mehran Khan,14,21,25,2,0,66.66
Glenn Maxwell,c Aqib Ilyas b Mehran Khan,0,1,1,0,0,0
Marcus Stoinis,not out,67,36,55,2,6,186.11
Tim David,run out (Ayaan Khan/†Athavale),9,4,5,2,0,225
Kashyap Prajapati,lbw b Ellis,7,16,27,1,0,43.75
Pratik Athavale †,lbw b Starc,0,1,3,0,0,0
Aqib Ilyas (c),c †Wade b Stoinis,18,18,29,2,1,100
Zeeshan Maqsood,c †Wade b Stoinis,1,7,12,0,0,14.28
Khalid Kail,c Maxwell b Starc,8,12,24,1,0,66.66
Ayaan Khan,c Hazlewood b Zampa,36,30,42,2,2,120
Shoaib Khan,b Zampa,0,4,7,0,0,0
Mehran Khan,c David b Stoinis,27,16,34,1,2,168.75
Shakeel Ahmed,c Warner b Ellis,11,10,21,1,0,110
Kaleemullah,not out,6,4,6,0,0,150
Bilal Khan,not out,1,2,2,0,0,50
Assad Vala (c),lbw b Ramjani,0,2,2,0,0,0
Tony Ura,c Mukasa b Kyewuta,2,6,21,0,0,33.33
Sese Bau,c Mukasa b Miyagi,5,9,11,1,0,55.55
Lega Siaka,run out (Kyewuta/†Ssesazi),12,17,19,1,0,70.58
Hiri Hiri,lbw b Nsubuga,15,19,32,2,0,78.94
Charles Amini,b Nsubuga,5,14,10,0,0,35.71
Kiplin Doriga †,lbw b Ramjani,12,20,18,0,1,60
Chad Soper,b Masaba,4,11,15,0,0,36.36
Norman Vanua,c †Ssesazi b Kyewuta,5,10,17,0,0,50
Alei Nao,b Miyagi,5,6,10,0,0,83.33
John Kariko,not out,0,2,2,0,0,0
Roger Mukasa,lbw b Nao,0,3,2,0,0,0
Simon Ssesazi †,lbw b Nao,1,3,13,0,0,33.33
Robinson Obuya,c Vala b Vanua,1,2,4,0,0,50
Riazat Ali Shah,c Kariko b Vanua,33,56,68,1,0,58.92
Alpesh Ramjani,b Soper,8,10,15,1,0,80
Dinesh Nakrani,c & b Vala,0,3,2,0,0,0
Juma Miyagi,run out (Vanua/Nao),13,16,25,0,0,81.25
Kenneth Waiswa,not out,7,16,19,0,0,43.75
Brian Masaba (c),not out,0,1,3,0,0,0
Andy Balbirnie,b Arshdeep Singh,5,10,-,1,0,50
Paul Stirling (c),c †Pant b Arshdeep Singh,2,6,-,0,0,33.33
Lorcan Tucker †,b Pandya,10,13,-,2,0,76.92
Harry Tector,c Kohli b Bumrah,4,16,-,0,0,25
Curtis Campher,c †Pant b Pandya,12,8,-,1,1,150
George Dockrell,c Bumrah b Mohammed Siraj,3,5,-,0,0,60
Gareth Delany,run out (Mohammed Siraj/†Pant),26,14,-,2,2,185.71
Mark Adair,c Dube b Pandya,3,2,-,0,0,150
Barry McCarthy,c & b Patel,0,6,-,0,0,0
Josh Little,b Bumrah,14,13,-,2,0,107.69
Ben White,not out,2,4,-,0,0,50
Rohit Sharma (c),retired hurt,52,37,48,4,3,140.54
Virat Kohli,c White b Adair,1,5,13,0,0,20
Rishabh Pant †,not out,36,26,46,3,2,138.46
Suryakumar Yadav,c Dockrell b White,2,4,9,0,0,50
Shivam Dube,not out,0,2,3,0,0,0
Kushal Bhurtel,lbw b van Beek,7,10,14,1,0,70
Aasif Sheikh †,c Kingma b Pringle,4,8,8,1,0,50
Anil Sah,c van Beek b Pringle,11,12,29,2,0,91.66
Rohit Paudel (c),c O'Dowd b Pringle,35,37,59,5,0,94.59
Kushal Malla,c O'Dowd b van Meekeren,9,9,8,1,0,100
Dipendra Singh Airee,c van Beek b de Leede,1,6,4,0,0,16.66
Sompal Kami,b van Meekeren,0,5,10,0,0,0
Gulsan Jha,b van Beek,14,15,28,0,1,93.33
Karan KC,c Kingma b de Leede,17,12,13,0,2,141.66
Sagar Dhakal,not out,0,1,3,0,0,0
Abinash Bohara,c & b van Beek,0,1,1,0,0,0
Michael Levitt,c Airee b Sompal Kami,1,3,6,0,0,33.33
Max O'Dowd,not out,54,48,86,4,1,112.5
Vikramjit Singh,lbw b Airee,22,28,32,4,0,78.57
Sybrand Engelbrecht,run out (Sompal Kami),14,16,18,1,0,87.5
Scott Edwards (c)†,b Bohara,5,8,11,0,0,62.5
Bas de Leede,not out,11,10,13,1,0,110
George Munsey,not out,41,31,46,4,2,132.25
Michael Jones,not out,45,30,46,4,2,150
Rahmanullah Gurbaz †,c Riazat Ali Shah b Ramjani,76,45,70,4,4,168.88
Ibrahim Zadran,b Masaba,70,46,66,9,1,152.17
Najibullah Zadran,c Nakrani b Masaba,2,3,8,0,0,66.66
Mohammad Nabi,not out,14,16,23,0,0,87.5
Gulbadin Naib,c Masaba b Kyewuta,4,5,6,0,0,80
Azmatullah Omarzai,c Ramjani b Kyewuta,5,5,9,0,0,100
Rashid Khan (c),not out,2,1,1,0,0,200
Ronak Patel,b Fazalhaq Farooqi,4,2,1,1,0,200
Simon Ssesazi †,c Fazalhaq Farooqi b Mujeeb Ur Rahman,4,4,9,1,0,100
Roger Mukasa,lbw b Fazalhaq Farooqi,0,1,1,0,0,0
Riazat Ali Shah,b Fazalhaq Farooqi,11,34,56,0,0,32.35
Dinesh Nakrani,b Naveen-ul-Haq,6,8,11,1,0,75
Alpesh Ramjani,c Gulbadin Naib b Naveen-ul-Haq,0,2,1,0,0,0
Robinson Obuya,c †Rahmanullah Gurbaz b Fazalhaq Farooqi,14,25,42,0,1,56
Brian Masaba (c),c †Rahmanullah Gurbaz b Fazalhaq Farooqi,0,1,1,0,0,0
Bilal Hassan,lbw b Rashid Khan,8,16,18,1,0,50
Cosmas Kyewuta,not out,2,2,15,0,0,100
Henry Ssenyondo,b Rashid Khan,0,1,1,0,0,0
Pathum Nissanka,c Klaasen b Baartman,3,8,15,0,0,37.5
Kusal Mendis †,c Stubbs b Nortje,19,30,46,1,0,63.33
Kamindu Mendis,c Hendricks b Nortje,11,15,19,1,0,73.33
Wanindu Hasaranga (c),st †de Kock b Maharaj,0,2,2,0,0,0
Sadeera Samarawickrama,b Maharaj,0,1,1,0,0,0
Charith Asalanka,c Hendricks b Nortje,6,9,11,0,0,66.66
Angelo Mathews,c Baartman b Nortje,16,16,24,0,2,100
Dasun Shanaka,b Rabada,9,10,13,0,1,90
Maheesh Theekshana,not out,7,16,20,1,0,43.75
Matheesha Pathirana,c Markram b Rabada,0,4,8,0,0,0
Nuwan Thushara,run out (Nortje/Jansen),0,4,7,0,0,0
Quinton de Kock †,c & b Hasaranga,20,27,54,0,1,74.07
Reeza Hendricks,c PHKD Mendis b Thushara,4,2,8,1,0,200
Aiden Markram (c),c PHKD Mendis b Shanaka,12,14,14,0,1,85.71
Tristan Stubbs,c Asalanka b Hasaranga,13,28,39,0,0,46.42
Heinrich Klaasen,not out,19,22,22,1,1,86.36
David Miller,not out,6,6,13,1,0,100
Kashyap Prajapati,lbw b Trumpelmann,0,1,1,0,0,0
Naseem Khushi †,c Erasmus b Trumpelmann,6,6,16,1,0,100
Aqib Ilyas (c),lbw b Trumpelmann,0,1,2,0,0,0
Zeeshan Maqsood,lbw b Scholtz,22,20,29,4,0,110
Khalid Kail,c & b Wiese,34,39,56,1,1,87.17
Ayaan Khan,c Frylinck b Erasmus,15,21,16,0,1,71.42
Mohammad Nadeem,lbw b Erasmus,6,10,10,0,0,60
Mehran Khan,lbw b Wiese,7,8,12,1,0,87.5
Shakeel Ahmed,c Trumpelmann b Wiese,11,9,13,2,0,122.22
Kaleemullah,lbw b Trumpelmann,2,3,4,0,0,66.66
Bilal Khan,not out,1,1,5,0,0,100
Michael van Lingen,b Bilal Khan,0,2,1,0,0,0
Nikolaas Davin,c Mohammad Nadeem b Aqib Ilyas,24,31,35,2,1,77.41
Jan Frylinck,b Mehran Khan,45,48,77,6,0,93.75
Gerhard Erasmus (c),c Zeeshan Maqsood b Ayaan Khan,13,16,19,1,0,81.25
JJ Smit,c Ayaan Khan b Mehran Khan,8,12,13,1,0,66.66
David Wiese,not out,9,8,15,0,1,112.5
Zane Green †,lbw b Mehran Khan,0,2,2,0,0,0
Malan Kruger,not out,1,1,3,0,0,100
Tony Ura,c †Pooran b Shepherd,2,5,7,0,0,40
Assad Vala (c),c Chase b Joseph,21,22,26,2,1,95.45
Lega Siaka,b Hosein,1,2,2,0,0,50
Sese Bau,b Joseph,50,43,55,6,1,116.27
Hiri Hiri,c Powell b Motie,2,6,10,0,0,33.33
Charles Amini,c †Pooran b Russell,12,14,22,0,0,85.71
Kiplin Doriga †,not out,27,18,23,3,0,150
Chad Soper,b Russell,10,9,10,1,0,111.11
Alei Nao,run out (Joseph),0,0,2,0,0,-
Kabua Morea,not out,2,2,3,0,0,100
Brandon King,c Siaka b Vala,34,29,44,7,0,117.24
Johnson Charles,lbw b Nao,0,1,6,0,0,0
Nicholas Pooran †,c Ura b Kariko,27,27,30,1,2,100
Roston Chase,not out,42,27,39,4,2,155.55
Rovman Powell (c),c †Doriga b Soper,15,14,14,2,0,107.14
Sherfane Rutherford,c †Doriga b Vala,2,7,6,0,0,28.57
Andre Russell,not out,15,9,11,0,1,166.66
Aaron Johnson,c Kumar b Harmeet Singh,23,16,24,5,0,143.75
Navneet Dhaliwal,c Jasdeep Singh b Anderson,61,44,62,6,3,138.63
Pargat Singh,run out (Jasdeep Singh/†Patel),5,7,12,0,0,71.42
Nicholas Kirton,c Anderson b Ali Khan,51,31,43,3,2,164.51
Shreyas Movva †,not out,32,16,29,2,2,200
