Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
India,South Africa,India,7 runs,/cricket-grounds/kensington-oval-bridgetown-barbados-59429,"Jun 29, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/india-vs-south-africa-final-1415755/full-scorecard
England,India,India,68 runs,/cricket-grounds/providence-stadium-guyana-208544,"Jun 27, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-india-2nd-semi-final-1415754/full-scorecard
Afghanistan,South Africa,South Africa,9 wickets,/cricket-grounds/brian-lara-stadium-tarouba-trinidad-247418,"Jun 26, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-south-africa-1st-semi-final-1415753/full-scorecard
Afghanistan,Bangladesh,Afghanistan,8 runs,/cricket-grounds/arnos-vale-ground-kingstown-st-vincent-59463,"Jun 24, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-bangladesh-52nd-match-super-eights-group-1-1415752/full-scorecard
Australia,India,India,24 runs,/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518,"Jun 24, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-india-51st-match-super-eights-group-1-1415751/full-scorecard
West Indies,South Africa,South Africa,3 wickets,/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543,"Jun 23, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-south-africa-50th-match-super-eights-group-2-1415750/full-scorecard
England,U.S.A.,England,10 wickets,/cricket-grounds/kensington-oval-bridgetown-barbados-59429,"Jun 23, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-united-states-of-america-49th-match-super-eights-group-2-1415749/full-scorecard
Afghanistan,Australia,Afghanistan,21 runs,/cricket-grounds/arnos-vale-ground-kingstown-st-vincent-59463,"Jun 22, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/afghanistan-vs-australia-48th-match-super-eights-group-1-1415748/full-scorecard
Bangladesh,India,India,50 runs,/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543,"Jun 22, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-india-47th-match-super-eights-group-1-1415747/full-scorecard
West Indies,U.S.A.,West Indies,9 wickets,/cricket-grounds/kensington-oval-bridgetown-barbados-59429,"Jun 21, 2024",/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-united-states-of-america-46th-match-super-eights-group-2-1415746/full-scorecard
