Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Bangladesh,South Africa,South Africa,104 runs,/cricket-grounds/sydney-cricket-ground-56544,"Oct 27, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/bangladesh-vs-south-africa-22nd-match-group-2-1298156/full-scorecard
England,Ireland,Ireland,5 runs,/cricket-grounds/melbourne-cricket-ground-56441,"Oct 26, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/england-vs-ireland-20th-match-group-1-1298154/full-scorecard
Australia,Sri Lanka,Australia,7 wickets,/cricket-grounds/perth-stadium-1126475,"Oct 25, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/australia-vs-sri-lanka-19th-match-group-1-1298153/full-scorecard
South Africa,Zimbabwe,no result,-,/cricket-grounds/bellerive-oval-hobart-56407,"Oct 24, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/south-africa-vs-zimbabwe-18th-match-group-2-1298152/full-scorecard
Bangladesh,Netherlands,Bangladesh,9 runs,/cricket-grounds/bellerive-oval-hobart-56407,"Oct 24, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/bangladesh-vs-netherlands-17th-match-group-2-1298151/full-scorecard
India,Pakistan,India,4 wickets,/cricket-grounds/melbourne-cricket-ground-56441,"Oct 23, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/india-vs-pakistan-16th-match-group-2-1298150/full-scorecard
Ireland,Sri Lanka,Sri Lanka,9 wickets,/cricket-grounds/bellerive-oval-hobart-56407,"Oct 23, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/ireland-vs-sri-lanka-15th-match-group-1-1298149/full-scorecard
Afghanistan,England,England,5 wickets,/cricket-grounds/perth-stadium-1126475,"Oct 22, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/afghanistan-vs-england-14th-match-group-1-1298148/full-scorecard
Australia,New Zealand,New Zealand,89 runs,/cricket-grounds/sydney-cricket-ground-56544,"Oct 22, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/australia-vs-new-zealand-13th-match-group-1-1298147/full-scorecard
Scotland,Zimbabwe,Zimbabwe,5 wickets,/cricket-grounds/bellerive-oval-hobart-56407,"Oct 21, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/scotland-vs-zimbabwe-12th-match-first-round-group-b-1298146/full-scorecard
Ireland,West Indies,Ireland,9 wickets,/cricket-grounds/bellerive-oval-hobart-56407,"Oct 21, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/ireland-vs-west-indies-11th-match-first-round-group-b-1298145/full-scorecard
Namibia,U.A.E.,U.A.E.,7 runs,/cricket-grounds/simonds-stadium-south-geelong-victoria-56402,"Oct 20, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/namibia-vs-united-arab-emirates-10th-match-first-round-group-a-1298144/full-scorecard
Netherlands,Sri Lanka,Sri Lanka,16 runs,/cricket-grounds/simonds-stadium-south-geelong-victoria-56402,"Oct 20, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/netherlands-vs-sri-lanka-9th-match-first-round-group-a-1298143/full-scorecard
West Indies,Zimbabwe,West Indies,31 runs,/cricket-grounds/bellerive-oval-hobart-56407,"Oct 19, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/west-indies-vs-zimbabwe-8th-match-first-round-group-b-1298142/full-scorecard
Ireland,Scotland,Ireland,6 wickets,/cricket-grounds/bellerive-oval-hobart-56407,"Oct 19, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/ireland-vs-scotland-7th-match-first-round-group-b-1298141/full-scorecard
Sri Lanka,U.A.E.,Sri Lanka,79 runs,/cricket-grounds/simonds-stadium-south-geelong-victoria-56402,"Oct 18, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/sri-lanka-vs-united-arab-emirates-6th-match-first-round-group-a-1298140/full-scorecard
Namibia,Netherlands,Netherlands,5 wickets,/cricket-grounds/simonds-stadium-south-geelong-victoria-56402,"Oct 18, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/namibia-vs-netherlands-5th-match-first-round-group-a-1298139/full-scorecard
Ireland,Zimbabwe,Zimbabwe,31 runs,/cricket-grounds/bellerive-oval-hobart-56407,"Oct 17, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/ireland-vs-zimbabwe-4th-match-first-round-group-b-1298138/full-scorecard
Scotland,West Indies,Scotland,42 runs,/cricket-grounds/bellerive-oval-hobart-56407,"Oct 17, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/scotland-vs-west-indies-3rd-match-first-round-group-b-1298137/full-scorecard
Netherlands,U.A.E.,Netherlands,3 wickets,/cricket-grounds/simonds-stadium-south-geelong-victoria-56402,"Oct 16, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/netherlands-vs-united-arab-emirates-2nd-match-first-round-group-a-1298136/full-scorecard
Namibia,Sri Lanka,Namibia,55 runs,/cricket-grounds/simonds-stadium-south-geelong-victoria-56402,"Oct 16, 2022",/series/icc-men-s-t20-world-cup-2022-23-1298134/namibia-vs-sri-lanka-1st-match-first-round-group-a-1298135/full-scorecard
